Albanie,4342.011,1.511
Algérie,130493.653,3.158
Angola,18021.394,0.605
Argentine,183375.203,4.142
Arménie,5165.593,1.763
Australie,384583.857,15.632
Autriche,64872.394,7.376
Azerbaïdjan,30805.851,3.124
Bahreïn,29813.834,19.969
Bangladesh,78270.17,0.475
Biélorussie,54070.453,5.687
Belgique,90368.188,7.963
Bénin,6763.074,0.605
Bolivie,21899.18,1.981
Bosnie-Herzégovine,22327.978,6.367
Botswana,7717.409,3.367
Brésil,427632.717,2.043
Brunéi,6710.178,15.641
Bulgarie,42819.932,6.051
Côte d'Ivoire,10234.205,0.421
Cambodge,10762.923,0.672
Cameroun,6152.919,0.256
Canada,547798.641,14.992
Chili,86087.14,4.648
Chine,9257933.9,6.678
Hong Kong,44034.675,5.957
Colombie,75291.911,1.535
Congo (République),2847.335,0.541
Costa Rica,7584.411,1.546
Croatie,16193.172,3.925
Cuba,26215.665,2.283
Curaçao,3748.132,23.28
Chypre,6367.874,7.448
République tchèque,101682.752,9.602
Corée du Nord,19579.698,0.768
Congo (RDC),2201.742,0.027
Danemark,31263.57,5.421
République Dominicaine,21430.38,1.99
Équateur,34299.317,2.063
Egypte,209219.059,2.145
Salvador,5735.668,0.899
Érythrée,632.105,0.125
Estonie,15972.029,12.137
Éthiopie,13059.815,0.124
Finlande,42598.175,7.734
France,306123.541,4.565
Gabon,3367.911,1.663
Géorgie,8720.3,2.346
Allemagne, 718794.085,8.696
Ghana,13779.635,0.478
Gibraltar,703.9,20.703
Grèce,63213.31,5.878
Guatémala,15703.161,0.928
Haïti,3293.125,0.3
Honduras,9426.74,1.017
Hongrie,45783.636,4.678
Islande,2173.307,6.336
Inde,2161567.072,1.614
Indonésie,496406.275,1.88
Iran,567123.294,6.987
Irak,139877.659,3.655
Irlande,35720.302,7.439
Israël,63766.189,7.322
Italie,321481.224,5.31
Jamaïque,6971.666,2.412
Japon,1132435.4,8.938
Jordanie,25550.14,2.633
Kazakhstan,255767.646,14.179
Kenya,16264.973,0.327
Kosovo,8168.55,4.461
Koweït,89420.615,21.615
Kirghizistan,8909.263,1.437
Lettonie,6679.644,3.441
Liban,26931.044,4.428
Libye,41528.35,6.514
Lituanie,10811.096,3.831
Luxembourg,8631.187,14.458
Malaisie,211046.967,6.674
Malte,1516.276,3.261
Maurice,4182.138,3.306
Mexique,445991.937,3.615
Mongolie,19276,6.267
Monténégro,2206.233,3.547
Maroc,58149.86,1.627
Mozambique,7624.932,0.257
Birmanie,30404.919,0.57
Namibie,4037.15,1.593
Népal,10113.953,0.345
Pays-Bas,155574.278,9.081
Nouvelle-Zélande,32241.597,6.673
Nicaragua,5106.281,0.821
Niger,2048.704,0.095
Nigéria,85988.513,0.45
Norvège,34760.858,6.587
Oman,65498.56,14.128
Pakistan,183447.068,0.931
Panamá,9612.198,2.345
Paraguay,7654.689,1.124
Pérou,49693.643,1.545
Philippines,126487.694,1.206
Pologne,305841.991,7.96
Portugal,50757.815,4.928
Qatar,80116.551,30.359
Corée du Sud,600034.367,11.663
Moldavie,7526.673,2.12
Roumanie,70788.76,3.614
Russie,1536878.825,10.636
Arabie Saoudite,532181.611,16.157
Sénégal,8311.532,0.524
Serbie,46129.569,6.569
Singapour,47407.144,8.447
Slovaquie,32212.012,5.924
Slovénie,13410.666,6.491
Afrique du Sud,421682.392,7.435
Soudan du Sud,1549.031,0.123
Espagne,253423.277,5.446
Sri Lanka,23103.271,1.077
Soudan,18777.895,0.463
Surinam,1928.134,3.425
Suède,37643.785,3.743
Suisse,37135.572,4.394
Syrie,23031.045,1.261
Tadjikistan,5843.657,0.655
Thaïlande,244254.785,3.538
Togo,2082.434,0.267
Trinité-et-Tobago,18007.573,13.154
Tunisie,26156.972,2.268
Turquie,378631.09,4.714
Turkménistan,68998.881,11.983
Ukraine,171300.035,3.821
Émirats arabes unis,196510.174,20.905
Royaume-Uni,358731.281,5.432
Tanzanie,10131.79,0.177
États-Unis,4761301.727,14.606
Uruguay,5872.957,1.699
Ouzbékistan,81156.397,2.506
Vénézuela,113717.543,3.556
Viêt Nam,191243.601,2.002
Yémen,8919.998,0.316
Zambie,6007.872,0.351
Zimbabwe,9714.938,0.588
