"Afghanistan","42"
"Albanië","130"
"Algerije","135"
"Amerikaans Samoa","92"
"Andorra","13"
"Angola","146"
"Anguilla","52"
"Antarctica","6"
"Antigua en Barbuda","55"
"Argentinië","256"
"Armenië","114"
"Aruba","32"
"Australië","948"
"Oostenrijk","118"
"Azerbeidzjan","97"
"Bahamas","86"
"Bahrein","36"
"Bangladesh","151"
"Barbados","56"
"Wit-Rusland","25"
"België","37"
"Belize","117"
"Benin","88"
"Bermuda","72"
"Bhutan","71"
"Bolivia","231"
"Bosnië-Herzegovina","91"
"Botswana","28"
"Bouvet-eiland","3"
"Brazilië","990"
"Brits-Indisch oceaan gebied","85"
"Britse Maagdeneilanden","67"
"Brunei","193"
"Bulgarije","104"
"Burkina Faso","31"
"Boeroendi","61"
"Kaapverdië","65"
"Cambodja","255"
"Kameroen","775"
"Canada","122"
"Kaaiman Eilanden","74"
"Centraal Afrikaanse Republiek","60"
"Tsjaad","43"
"Chili","197"
"China","1080"
"Hong Kong","64"
"Macau","11"
"Christmaseiland","39"
"Cocos (Keeling) eilanden","33"
"Colombia","835"
"Comoren","114"
"Republiek Congo","134"
"Cookeilanden","75"
"Costa Rica","340"
"Ivoorkust","249"
"Kroatië","176"
"Cuba","339"
"Curaçao","51"
"Cyprus","72"
"Tsjechische Republiek","53"
"Noord-Korea","78"
"Congo (DRC)","349"
"Denemarken","47"
"Djibouti","98"
"Dominica","66"
"Dominicaanse Republiek","184"
"Ecuador","2358"
"Egypte","156"
"El Salvador","86"
"Equatoriaal-Guinea","177"
"Eritrea","122"
"Estland","23"
"Swaziland","34"
"Ethiopië","148"
"Falklandeilanden (Islas Malvinas)","23"
"Faeröer","21"
"Fiji","291"
"Finland","36"
"Frankrijk","278"
"Frans Guyana","73"
"Frans-Polynesië","175"
"Franse Zuidelijke Gebieden","25"
"Gabon","270"
"Gambia","67"
"Georgië","120"
"Duitsland","116"
"Ghana","238"
"Gibraltar","31"
"Griekenland","374"
"Groenland","23"
"Grenada","54"
"Guadeloupe","73"
"Guam","99"
"Guatemala","290"
"Guernsey","5"
"Guinea","185"
"Guinee-Bissau","77"
"Guyana","94"
"Haïti","205"
"Vaticaanstad","1"
"Honduras","301"
"Hongarije","66"
"IJsland","27"
"India","1052"
"Indonesië","1281"
"Iran","134"
"Irak","72"
"Ierland","50"
"Isle of Man","3"
"Israël","174"
"Italië","359"
"Jamaica","311"
"Japan","404"
"Jersey","6"
"Jordanië","113"
"Kazachstan","82"
"Kenia","480"
"Kiribati","104"
"Koeweit","49"
"Kirgizië","44"
"Laos","209"
"Letland","30"
"Libanon","87"
"Lesotho","18"
"Liberia","172"
"Libië","63"
"Liechtenstein","6"
"Litouwen","26"
"Luxemburg","11"
"Madagascar","1324"
"Malawi","176"
"Maleisië","1272"
"Maldiven","75"
"Mali","42"
"Malta","39"
"Marshall eilanden","101"
"Martinique","48"
"Mauritanië","86"
"Mauritius","257"
"Mayotte","88"
"Mexico","1162"
"Micronesië","167"
"Monaco","21"
"Mongolië","41"
"Montenegro","98"
"Montserrat","55"
"Marokko","207"
"Mozambique","309"
"Myanmar","321"
"Namibië","115"
"Nauru","82"
"Nepal","104"
"Nederland","40"
"Nieuw-Caledonië","526"
"Nieuw Zeeland","199"
"Nicaragua","144"
"Niger","34"
"Nigeria","361"
"Niue","52"
"Norfolkeiland","44"
"Noordelijke Mariana eilanden","102"
"Noorwegen","64"
"Oman","99"
"Pakistan","140"
"Palau","182"
"Panama","383"
"Papoea-Nieuw-Guinea","493"
"Paraguay","59"
"Peru","685"
"Filippijnen","783"
"Polen","58"
"Portugal","281"
"Puerto Rico","126"
"Qatar","39"
"Zuid-Korea","111"
"Moldavië","35"
"Réunion","130"
"Roemenië","104"
"Rusland","235"
"Rwanda","62"
"Saint-Barthélemy","31"
"Saint Kitts en Nevis","52"
"Saint Lucia","62"
"Saint Pierre en Miquelon","12"
"Saint Vincent en de Grenadines","58"
"Samoa","93"
"San Marino","1"
"São Tomé en Príncipe","94"
"Saoedi-Arabië","131"
"Senegal","123"
"Servië","71"
"Seychellen","439"
"Sierra Leone","177"
"Singapore","293"
"Slowakije","54"
"Slovenië","143"
"Solomon eilanden","245"
"Somalië","175"
"Zuid-Afrika","581"
"Zuid-Georgië en de Zuidelijke Sandwicheilanden","9"
"Zuid Soedan","49"
"Spanje","617"
"Sri Lanka","587"
"Palestina","31"
"Soedan","133"
"Suriname","83"
"Zweden","54"
"Zwitserland","74"
"Syrië","132"
"Tadzjikistan","45"
"Thailand","611"
"Timor-Leste","24"
"Togo","80"
"Tokelau","49"
"Tonga","79"
"Trinidad en Tobago","69"
"Tunesië","96"
"Turkije","388"
"Turkmenistan","54"
"Turks- en Caicoseilanden","60"
"Tuvalu","96"
"Oeganda","196"
"Oekraïne","102"
"Verenigde Arabische Emiraten","56"
"Verenigd Koninkrijk","102"
"Tanzania","1082"
"Verenigde Staten","1513"
"Amerikaanse Maagdeneilanden","58"
"Uruguay","106"
"Oezbekistan","59"
"Vanuatu","137"
"Venezuela","328"
"Vietnam","616"
"Wallis en Futuna","89"
"Westelijke Sahara","49"
"Jemen","298"
"Zambia","88"
"Zimbabwe","89"
